Error: URL not found or could not fetch data for AAPL
         468058 function calls (444107 primitive calls) in 0.778 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.280    0.007    0.281    0.007 {method 'control' of 'select.kqueue' objects}
        1    0.238    0.238    0.238    0.238 {built-in method _socket.getaddrinfo}
    28/26    0.017    0.001    0.018    0.001 {built-in method _imp.create_dynamic}
        1    0.017    0.017    0.017    0.017 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      249    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
 4587/235    0.014    0.000    0.041    0.000 _parser.py:511(_parse)
      249    0.012    0.000    0.012    0.000 {method 'read' of '_io.BufferedReader' objects}
 5126/197    0.010    0.000    0.022    0.000 _compiler.py:37(_compile)
        2    0.008    0.004    0.008    0.004 {method 'do_handshake' of '_ssl._SSLSocket' objects}
  811/804    0.006    0.000    0.039    0.000 {built-in method builtins.__build_class__}
      249    0.005    0.000    0.005    0.000 {built-in method _io.open_code}
    65010    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
58861/53038    0.005    0.000    0.006    0.000 {built-in method builtins.len}
    26291    0.005    0.000    0.007    0.000 _parser.py:167(__getitem__)
    278/1    0.004    0.000    0.778    0.778 {built-in method builtins.exec}
 5087/392    0.004    0.000    0.005    0.000 _parser.py:177(getwidth)
 1143/197    0.004    0.000    0.042    0.000 _parser.py:451(_parse_sub)
     1294    0.003    0.000    0.003    0.000 {built-in method posix.stat}
        1    0.003    0.003    0.003    0.003 {built-in method _scproxy._get_proxies}
40386/40366    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
      695    0.003    0.000    0.005    0.000 _compiler.py:241(_optimize_charset)
    12923    0.003    0.000    0.005    0.000 _parser.py:260(get)
      124    0.003    0.000    0.004    0.000 _compiler.py:470(_get_charset_prefix)
 1065/941    0.002    0.000    0.004    0.000 {built-in method __new__ of type object at 0x105790100}
    20664    0.002    0.000    0.002    0.000 _parser.py:239(__next)
        1    0.002    0.002    0.032    0.032 dammit.py:128(_populate_class_variables)
      610    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
      249    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
     3219    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
    11549    0.002    0.000    0.003    0.000 _parser.py:163(__len__)
   658/19    0.002    0.000    0.205    0.011 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    10671    0.002    0.000    0.002    0.000 _parser.py:255(match)
      472    0.001    0.000    0.002    0.000 css_types.py:41(__init__)
      105    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
       28    0.001    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
     6885    0.001    0.000    0.002    0.000 _parser.py:175(append)
      275    0.001    0.000    0.074    0.000 __init__.py:330(_compile)
      306    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      460    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
     2935    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
       19    0.001    0.000    0.003    0.000 enum.py:1749(convert_class)
    13591    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      249    0.001    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
   312/10    0.001    0.000    0.209    0.021 <frozen importlib._bootstrap>:1349(_find_and_load)
     6750    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       31    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     4216    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      271    0.001    0.000    0.004    0.000 typing.py:1423(__init__)
     4970    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      505    0.001    0.000    0.002    0.000 typing.py:173(_type_check)
     1768    0.001    0.000    0.002    0.000 typing.py:1368(__setattr__)
      498    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
     6940    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     3566    0.001    0.000    0.001    0.000 _parser.py:292(tell)
    311/9    0.001    0.000    0.209    0.023 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     2222    0.001    0.000    0.001    0.000 typing.py:1294(_is_dunder)
     7628    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
       30    0.001    0.000    1.155    0.039 base_events.py:1953(_run_once)
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
      281    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      695    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
     5644    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       27    0.001    0.000    0.007    0.000 dataclasses.py:929(_process_class)
      460    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
   281/10    0.001    0.000    0.207    0.021 <frozen importlib._bootstrap>:911(_load_unlocked)
     5685    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
      302    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      197    0.001    0.000    0.007    0.000 _compiler.py:514(_compile_info)
        1    0.001    0.001    0.001    0.001 {method 'connect' of '_socket.socket' objects}
       32    0.001    0.000    0.414    0.013 __init__.py:1(<module>)
     4325    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      460    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       13    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     1015    0.000    0.000    0.001    0.000 _parser.py:311(_class_escape)
        7    0.000    0.000    0.000    0.000 {method 'recv' of '_socket.socket' objects}
      460    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      197    0.000    0.000    0.072    0.000 _compiler.py:743(compile)
     2682    0.000    0.000    0.001    0.000 {built-in method builtins.hasattr}
      122    0.000    0.000    0.001    0.000 enum.py:251(__set_name__)
       32    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
     3856    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
    52/14    0.000    0.000    0.009    0.001 css_parser.py:911(parse_selectors)
     4309    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      208    0.000    0.000    0.001    0.000 enum.py:353(__setitem__)
      128    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
     1506    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     2481    0.000    0.000    0.001    0.000 css_parser.py:307(match)
     2222    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       13    0.000    0.000    0.002    0.000 enum.py:894(_convert_)
      249    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
     2867    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       50    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
  549/513    0.000    0.000    0.007    0.000 typing.py:426(inner)
      277    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
        7    0.000    0.000    0.000    0.000 {method 'read' of '_ssl._SSLSocket' objects}
       13    0.000    0.000    0.001    0.000 __init__.py:358(namedtuple)
      764    0.000    0.000    0.001    0.000 _parser.py:371(_escape)
      549    0.000    0.000    0.000    0.000 enum.py:825(__setattr__)
      308    0.000    0.000    0.001    0.000 typing.py:260(_collect_type_parameters)
       40    0.000    0.000    0.085    0.002 {method 'run' of '_contextvars.Context' objects}
      498    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       30    0.000    0.000    0.521    0.017 selectors.py:540(select)
      197    0.000    0.000    0.043    0.000 _parser.py:970(parse)
     1032    0.000    0.000    0.001    0.000 _parser.py:171(__setitem__)
      249    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
      747    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      460    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
     3388    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       77    0.000    0.000    0.003    0.000 css_parser.py:462(parse_attribute_selector)
      759    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
  281/278    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       34    0.000    0.000    0.002    0.000 enum.py:498(__new__)
      102    0.000    0.000    0.003    0.000 typing.py:753(Union)
     1294    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
   249/10    0.000    0.000    0.207    0.021 <frozen importlib._bootstrap_external>:1020(exec_module)
        5    0.000    0.000    0.000    0.000 {method 'send' of '_socket.socket' objects}
      864    0.000    0.000    0.000    0.000 enum.py:1585(_get_value)
      196    0.000    0.000    0.001    0.000 enum.py:1603(__and__)
