('Total Revenue', '395,760,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         784328 function calls (759929 primitive calls) in 1.950 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    86788    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
71622/65260    0.006    0.000    0.007    0.000 {built-in method builtins.len}
56495/56487    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
    29710    0.005    0.000    0.007    0.000 _parser.py:167(__getitem__)
    25608    0.003    0.000    0.003    0.000 _parser.py:239(__next)
    25246    0.013    0.000    0.013    0.000 {method 'match' of 're.Pattern' objects}
    20337    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
    16749    0.003    0.000    0.005    0.000 _parser.py:260(get)
    15140    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
    15010    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
    14550    0.001    0.000    0.001    0.000 {built-in method builtins.min}
    14296    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
    13295    0.002    0.000    0.003    0.000 _parser.py:255(match)
    13028    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
    12839    0.002    0.000    0.003    0.000 _parser.py:163(__len__)
    10903    0.003    0.000    0.005    0.000 _markupbase.py:44(updatepos)
     9220    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     8936    0.001    0.000    0.001    0.000 typing.py:2367(cast)
     8273    0.003    0.000    0.003    0.000 element.py:376(setup)
     8198    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
     8103    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     7487    0.001    0.000    0.002    0.000 _parser.py:175(append)
     7355    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
6551/6483    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
6404/6382    0.002    0.000    0.005    0.000 typing.py:426(inner)
     6216    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
     5986    0.001    0.000    0.004    0.000 __init__.py:122(unescape)
     5976    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     5852    0.001    0.000    0.004    0.000 {built-in method builtins.next}
     5746    0.005    0.000    0.019    0.000 __init__.py:826(endData)
     5595    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
 5542/195    0.011    0.000    0.024    0.000 _compiler.py:37(_compile)
     5533    0.001    0.000    0.001    0.000 element.py:2763(descendants)
     5509    0.001    0.000    0.006    0.000 filter.py:717(match)
 5496/383    0.004    0.000    0.005    0.000 _parser.py:177(getwidth)
     5486    0.000    0.000    0.000    0.000 element.py:2219(__bool__)
 4773/203    0.015    0.000    0.045    0.000 _parser.py:511(_parse)
     4338    0.001    0.000    0.001    0.000 _parser.py:292(tell)
     4260    0.000    0.000    0.001    0.000 {built-in method builtins.max}
     3826    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     3744    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
3441/3412    0.004    0.000    0.008    0.000 {built-in method __new__ of type object at 0x105e4c100}
     3275    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
     3199    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     2854    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     2787    0.001    0.000    0.001    0.000 __init__.py:1065(handle_data)
     2765    0.002    0.000    0.003    0.000 __init__.py:732(string_container)
     2765    0.002    0.000    0.005    0.000 element.py:1291(__new__)
     2765    0.003    0.000    0.006    0.000 __init__.py:867(object_was_parsed)
     2744    0.003    0.000    0.019    0.000 _htmlparser.py:204(handle_endtag)
     2743    0.000    0.000    0.000    0.000 __init__.py:290(can_be_empty_element)
     2743    0.002    0.000    0.003    0.000 __init__.py:809(pushTag)
     2743    0.000    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     2743    0.004    0.000    0.015    0.000 element.py:1618(__init__)
     2743    0.001    0.000    0.004    0.000 filter.py:538(matches_tag)
     2742    0.001    0.000    0.001    0.000 element.py:1812(is_empty_element)
     2742    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
     2742    0.002    0.000    0.002    0.000 __init__.py:786(popTag)
     2742    0.005    0.000    0.033    0.000 __init__.py:987(handle_starttag)
     2742    0.006    0.000    0.009    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     2742    0.004    0.000    0.040    0.000 _htmlparser.py:142(handle_starttag)
     2742    0.001    0.000    0.006    0.000 parser.py:345(check_for_whole_start_tag)
     2742    0.015    0.000    0.078    0.000 parser.py:301(parse_starttag)
     2741    0.002    0.000    0.016    0.000 __init__.py:1053(handle_endtag)
     2741    0.003    0.000    0.005    0.000 __init__.py:950(_popToTag)
     2682    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     2656    0.001    0.000    0.002    0.000 _htmlparser.py:222(handle_data)
     2632    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     2599    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     2570    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
     2566    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
     2566    0.004    0.000    0.024    0.000 parser.py:379(parse_endtag)
