('Total Revenue', '395,760,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         784229 function calls (759850 primitive calls) in 6.515 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.005    5.005    5.005    5.005 {built-in method time.sleep}
      305    0.994    0.003    0.994    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.043    0.043    0.043    0.043 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.042    0.042    0.042    0.042 {method 'connect' of '_socket.socket' objects}
    24/21    0.028    0.001    0.029    0.001 {built-in method _imp.create_dynamic}
        1    0.028    0.028    0.028    0.028 {built-in method _socket.getaddrinfo}
      228    0.025    0.000    0.139    0.001 {method 'read' of '_io.BufferedReader' objects}
        1    0.017    0.017    0.017    0.017 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 4773/203    0.015    0.000    0.045    0.000 _parser.py:511(_parse)
     2742    0.014    0.000    0.074    0.000 parser.py:301(parse_starttag)
    25246    0.012    0.000    0.012    0.000 {method 'match' of 're.Pattern' objects}
 5542/195    0.011    0.000    0.024    0.000 _compiler.py:37(_compile)
        2    0.010    0.005    0.123    0.061 parser.py:134(goahead)
      169    0.010    0.000    0.010    0.000 {built-in method marshal.loads}
        3    0.009    0.003    0.009    0.003 {built-in method _scproxy._get_proxy_settings}
    86768    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
71582/65240    0.006    0.000    0.007    0.000 {built-in method builtins.len}
  548/543    0.005    0.000    0.038    0.000 {built-in method builtins.__build_class__}
     2742    0.005    0.000    0.008    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     2742    0.005    0.000    0.031    0.000 __init__.py:987(handle_starttag)
    29690    0.005    0.000    0.007    0.000 _parser.py:167(__getitem__)
     5746    0.005    0.000    0.018    0.000 __init__.py:826(endData)
56475/56467    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
       38    0.005    0.000    0.005    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      169    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
     2742    0.004    0.000    0.038    0.000 _htmlparser.py:142(handle_starttag)
 5496/383    0.004    0.000    0.005    0.000 _parser.py:177(getwidth)
3441/3412    0.004    0.000    0.008    0.000 {built-in method __new__ of type object at 0x105878100}
      908    0.004    0.000    0.006    0.000 _compiler.py:241(_optimize_charset)
 1282/195    0.004    0.000    0.045    0.000 _parser.py:451(_parse_sub)
     2566    0.004    0.000    0.023    0.000 parser.py:379(parse_endtag)
        4    0.004    0.001    0.004    0.001 {built-in method _ssl.txt2obj}
        1    0.004    0.004    0.031    0.031 dammit.py:128(_populate_class_variables)
     2743    0.004    0.000    0.014    0.000 element.py:1618(__init__)
     8198    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
    16749    0.003    0.000    0.005    0.000 _parser.py:260(get)
    14296    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
     8273    0.003    0.000    0.003    0.000 element.py:376(setup)
    10903    0.003    0.000    0.005    0.000 _markupbase.py:44(updatepos)
    25608    0.003    0.000    0.003    0.000 _parser.py:239(__next)
      966    0.003    0.000    0.003    0.000 {built-in method posix.stat}
    20337    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     2741    0.003    0.000    0.005    0.000 __init__.py:950(_popToTag)
     2744    0.002    0.000    0.018    0.000 _htmlparser.py:204(handle_endtag)
     2765    0.002    0.000    0.006    0.000 __init__.py:867(object_was_parsed)
    15140    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
     2765    0.002    0.000    0.004    0.000 element.py:1291(__new__)
     2743    0.002    0.000    0.003    0.000 __init__.py:809(pushTag)
     8103    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
       39    0.002    0.000    0.007    0.000 response.py:122(decompress)
       24    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
     2765    0.002    0.000    0.003    0.000 __init__.py:732(string_container)
      491    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
    12819    0.002    0.000    0.003    0.000 _parser.py:163(__len__)
    15010    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
    13295    0.002    0.000    0.003    0.000 _parser.py:255(match)
     2742    0.002    0.000    0.002    0.000 __init__.py:786(popTag)
     2741    0.002    0.000    0.015    0.000 __init__.py:1053(handle_endtag)
        2    0.002    0.001    0.002    0.001 feedparser.py:472(_parse_headers)
     2004    0.002    0.000    0.002    0.000 __init__.py:91(_replace_charref)
        3    0.002    0.001    0.009    0.003 filter.py:129(filter)
     2550    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
6404/6382    0.002    0.000    0.005    0.000 typing.py:426(inner)
       94    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
        1    0.001    0.001    0.001    0.001 models.py:909(text)
    13028    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     5509    0.001    0.000    0.006    0.000 filter.py:717(match)
     2742    0.001    0.000    0.005    0.000 parser.py:345(check_for_whole_start_tag)
      472    0.001    0.000    0.002    0.000 css_types.py:41(__init__)
     7487    0.001    0.000    0.002    0.000 _parser.py:175(append)
6551/6483    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      312    0.001    0.000    0.078    0.000 __init__.py:330(_compile)
     1471    0.001    0.000    0.001    0.000 __init__.py:906(_linkage_fixer)
      126    0.001    0.000    0.002    0.000 _compiler.py:470(_get_charset_prefix)
     2743    0.001    0.000    0.004    0.000 filter.py:538(matches_tag)
      737    0.001    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
     2257    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
    14550    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     5852    0.001    0.000    0.004    0.000 {built-in method builtins.next}
     7355    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     2656    0.001    0.000    0.002    0.000 _htmlparser.py:222(handle_data)
      221    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       16    0.001    0.000    0.002    0.000 enum.py:1749(convert_class)
     4338    0.001    0.000    0.001    0.000 _parser.py:292(tell)
     5986    0.001    0.000    0.004    0.000 __init__.py:122(unescape)
     5595    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
       39    0.001    0.000    0.121    0.003 response.py:1173(read_chunked)
      305    0.001    0.000    0.995    0.003 ssl.py:1289(recv_into)
    171/1    0.001    0.000    6.515    6.515 {built-in method builtins.exec}
     2742    0.001    0.000    0.001    0.000 element.py:1812(is_empty_element)
     9220    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      169    0.001    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
       21    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      713    0.001    0.000    0.002    0.000 filter.py:612(_attribute_match)
      908    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     5976    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
