('Total Revenue', '395,760,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         783964 function calls (759609 primitive calls) in 1.528 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      293    1.073    0.004    1.073    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.049    0.049    0.049    0.049 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.039    0.039    0.039    0.039 {method 'connect' of '_socket.socket' objects}
      228    0.024    0.000    0.158    0.001 {method 'read' of '_io.BufferedReader' objects}
        1    0.016    0.016    0.016    0.016 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 4773/203    0.015    0.000    0.045    0.000 _parser.py:511(_parse)
     2742    0.014    0.000    0.076    0.000 parser.py:301(parse_starttag)
    24/21    0.013    0.001    0.013    0.001 {built-in method _imp.create_dynamic}
    25246    0.012    0.000    0.012    0.000 {method 'match' of 're.Pattern' objects}
 5542/195    0.011    0.000    0.024    0.000 _compiler.py:37(_compile)
        2    0.010    0.005    0.127    0.063 parser.py:134(goahead)
      169    0.009    0.000    0.009    0.000 {built-in method marshal.loads}
    86744    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
     2742    0.006    0.000    0.009    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
       38    0.006    0.000    0.006    0.000 {method 'decompress' of 'zlib.Decompress' objects}
71534/65216    0.006    0.000    0.007    0.000 {built-in method builtins.len}
  548/543    0.005    0.000    0.034    0.000 {built-in method builtins.__build_class__}
     2742    0.005    0.000    0.033    0.000 __init__.py:987(handle_starttag)
    29666    0.005    0.000    0.007    0.000 _parser.py:167(__getitem__)
     5746    0.005    0.000    0.019    0.000 __init__.py:826(endData)
56451/56443    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
     2742    0.004    0.000    0.039    0.000 _htmlparser.py:142(handle_starttag)
        3    0.004    0.001    0.004    0.001 {built-in method _scproxy._get_proxy_settings}
 5496/383    0.004    0.000    0.005    0.000 _parser.py:177(getwidth)
 1282/195    0.004    0.000    0.046    0.000 _parser.py:451(_parse_sub)
      908    0.004    0.000    0.006    0.000 _compiler.py:241(_optimize_charset)
      169    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
     2566    0.004    0.000    0.024    0.000 parser.py:379(parse_endtag)
     2743    0.004    0.000    0.015    0.000 element.py:1618(__init__)
        1    0.003    0.003    0.031    0.031 dammit.py:128(_populate_class_variables)
     8198    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
    14296    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
    16749    0.003    0.000    0.005    0.000 _parser.py:260(get)
     8273    0.003    0.000    0.003    0.000 element.py:376(setup)
    10903    0.003    0.000    0.005    0.000 _markupbase.py:44(updatepos)
    25608    0.003    0.000    0.003    0.000 _parser.py:239(__next)
    20337    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
