,Protein,Total lipid (fat),"Carbohydrate, by difference",Total Sugars,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Copper, Cu","Selenium, Se","Vitamin A, RAE",Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3),Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, total","Choline, total",Vitamin K (phylloquinone),"Folate, DFE","Vitamin B-12, added",Cholesterol,"Fatty acids, total saturated","Manganese, Mn"
almond,0.414,0.6756410256410257,0.07672727272727273,0.0088,0.34285714285714286,0.2023076923076923,0.22666666666666666,0.6333333333333333,0.4032,0.1576595744680851,0.10086956521739131,0.2872727272727273,1.0766666666666667,1.4545454545454546e-05,0.0,1.1066666666666667,0.0,0.07833333333333334,0.7176923076923077,0.243125,0.0488235294117647,0.000105,0.022521739130434783,0.0,0.105,0.0,0.0,0.211,0.0
amaretto,0.0,0.1282051282051282,0.1212,0.06666,0.0,0.0,0.0,0.0,0.0,0.0,0.029130434782608697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1665,0.0
anchovy,0.578,0.12448717948717948,0.0,0.0,0.0,0.17846153846153845,0.25722222222222224,0.16428571428571428,0.2016,0.11574468085106383,1.5956521739130434,0.22181818181818183,0.37666666666666665,0.0012381818181818182,0.013333333333333334,0.222,0.08499999999999999,0.065,0.2792307692307692,1.24375,0.11941176470588236,3.25e-05,0.03695652173913044,0.10083333333333333,0.0325,0.0,0.2833333333333333,0.11,0.0
anise,0.352,0.20384615384615384,0.1818909090909091,0.0,0.5214285714285715,0.4969230769230769,2.0533333333333332,0.40476190476190477,0.352,0.30659574468085105,0.006956521739130435,0.4818181818181818,1.011111111111111,9.09090909090909e-05,0.017777777777777778,0.0,0.0,0.2833333333333333,0.2230769230769231,0.19125,0.38235294117647056,2.5e-05,0.0,0.0,0.025,0.0,0.0,0.0293,1.0
apple,0.0,0.008333333333333333,0.051963636363636365,0.02078,0.11428571428571428,0.0,0.012777777777777779,0.0,0.0,0.023404255319148935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple juice,0.0,0.0,0.045454545454545456,0.025,0.0,0.0,0.0,0.0,0.0,0.02297872340425532,0.0052173913043478265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apricot,0.0,0.0,0.0492,0.02706,0.0,0.0,0.0,0.0,0.0,0.015106382978723404,0.0026086956521739132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artichoke,0.0578,0.004358974358974359,0.04363636363636364,0.00198,0.20357142857142857,0.016153846153846154,0.03388888888888889,0.1,0.0584,0.060851063829787236,0.02608695652173913,0.03636363636363636,0.1411111111111111,3.6363636363636366e-06,0.0011111111111111111,0.012666666666666666,0.0,0.041666666666666664,0.06846153846153846,0.069375,0.04764705882352941,0.0002225,0.014956521739130434,0.12333333333333334,0.2225,0.0,0.0,0.00395,0.0
arugula,0.0564,0.008974358974358974,0.0128,0.00422,0.05,0.12461538461538461,0.08222222222222222,0.0,0.0,0.07787234042553191,0.01217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001425,0.0,0.9041666666666667,0.0,0.0,0.0,0.0,0.0
asian pear,0.01,0.002948717948717949,0.03854545454545454,0.0141,0.12857142857142856,0.003076923076923077,0.0,0.01904761904761905,0.0088,0.02574468085106383,0.0,0.0018181818181818182,0.05555555555555555,1.8181818181818183e-06,0.0,0.008,0.0,0.0075,0.007692307692307693,0.0136875,0.012941176470588235,2e-05,0.002217391304347826,0.0375,0.02,0.0,0.0,0.0006,0.0
